date,temperature,humidity,wind_speed,description
14/06/2023,12.15,82,7.72,broken clouds
17/06/2023,12.66,62,6.71,scattered clouds
20/06/2023,8.85,76,3.6,scattered clouds
16/07/2023,10.26,79,0.89,scattered clouds
19/07/2023,9.91,74,3.6,few clouds
22/07/2023,11.17,73,4.63,scattered clouds
14/08/2023,8.22,90,3.09,broken clouds
17/08/2023,11.07,69,9.77,broken clouds
20/08/2023,14.36,71,5.66,broken clouds
12/09/2023,19.07,51,4.63,clear sky
15/09/2023,18.92,55,5.14,clear sky
18/09/2023,15.62,77,2.06,clear sky
14/10/2023,15.36,68,9.77,broken clouds
17/10/2023,14.45,64,3.09,broken clouds
20/10/2023,25.97,46,5.14,clear sky
12/11/2023,16.83,55,5.14,few clouds
15/11/2023,16.79,61,3.6,scattered clouds
18/11/2023,17.32,62,4.12,few clouds
14/12/2023,19.41,69,8.23,broken clouds
17/12/2023,19.81,57,3.6,few clouds
20/12/2023,17.69,50,7.72,few clouds
02/01/2023,28.99,47,9.3,scattered clouds
05/01/2023,20.55,58,7.2,broken clouds
08/01/2023,25.53,49,3.1,clear sky
11/01/2023,25.18,60,3.6,clear sky
31/01/2023,20.37,58,5.7,broken clouds
03/02/2023,15.18,58,8.2,broken clouds
06/02/2023,17.69,69,3.6,broken clouds
09/02/2023,22.34,66,2.6,few clouds
04/03/2023,23.05,65,0.89,overcast clouds
07/03/2023,19.14,50,8.23,broken clouds
10/03/2023,18.89,65,2.06,broken clouds
13/03/2023,18.85,65,5.14,broken clouds
02/04/2023,15.52,67,3.09,few clouds
05/04/2023,17.22,80,1.54,broken clouds
08/04/2023,15.52,85,1.34,light rain
11/04/2023,14.64,89,2.06,light rain
04/05/2023,12.82,87,2.06,broken clouds
07/05/2023,8.85,90,4.63,light rain
10/05/2023,12.41,93,3.09,broken clouds
02/06/2023,8.8,77,2.57,clear sky
05/06/2023,13.04,90,0.89,overcast clouds
08/06/2023,13.89,90,4.63,scattered clouds
11/06/2023,13.34,75,5.66,broken clouds
01/07/2023,11.28,86,6.17,light rain
04/07/2023,11.19,86,6.69,light rain
07/07/2023,12.65,73,7.2,few clouds
10/07/2023,13.71,72,6.69,scattered clouds
02/08/2023,11.86,77,4.12,broken clouds
05/08/2023,11.06,77,6.69,scattered clouds
08/08/2023,7.44,94,0.89,overcast clouds
31/08/2023,12.74,79,6.69,scattered clouds
01/05/2023,13.94,77,1.54,broken clouds
30/07/2023,13.97,70,7.72,few clouds
29/09/2023,23.14,25,1.34,clear sky
28/12/2023,18.58,88,1.79,light rain
12/02/2023,18.93,70,8.2,broken clouds
13/05/2023,11.46,93,2.06,broken clouds
13/07/2023,13.29,69,3.13,broken clouds
11/08/2023,13.9,63,5.66,scattered clouds
03/09/2023,15.44,66,8.75,few clouds
06/09/2023,13.81,53,5.36,clear sky
09/09/2023,11.99,65,7.72,light rain
02/10/2023,17.98,52,1.34,clear sky
05/10/2023,13.07,65,8.23,light rain
08/10/2023,14.59,58,2.57,scattered clouds
11/10/2023,21.37,50,8.23,clear sky
31/10/2023,14.59,56,6.69,light rain
03/11/2023,14.31,65,5.66,overcast clouds
06/11/2023,24.12,47,9.26,clear sky
09/11/2023,17.23,75,2.06,broken clouds
02/12/2023,15.62,94,7.72,drizzle
05/12/2023,25.29,57,3.09,clear sky
08/12/2023,26.14,53,14.92,light intensity shower rain
11/12/2023,18.17,95,4.12,light rain
31/12/2023,18.98,58,6.69,scattered clouds
17/01/2023,31.09,43,8.23,clear sky
29/11/2023,17.82,90,8.23,light rain
16/02/2023,30.88,34,11.32,clear sky
17/07/2023,10.05,81,1.34,clear sky
15/10/2023,14.93,60,7.72,broken clouds
