date,temperature,humidity,wind_speed,description
04/12/2023,21.21,64,4.12,heavy intensity rain
27/12/2023,25.27,71,1.34,scattered clouds
30/12/2023,25.05,54,4.12,few clouds
14/01/2023,22.57,81,3.1,light rain
20/01/2023,18.05,85,4.63,moderate rain
15/02/2023,23.85,68,3.1,light rain
18/02/2023,27.59,64,3.6,clear sky
21/02/2023,26.61,62,2.57,scattered clouds
16/03/2023,29.09,53,4.12,clear sky
19/03/2023,28.53,63,3.6,clear sky
22/03/2023,23.04,67,5.66,light rain
14/04/2023,17.28,87,8.23,light intensity shower rain
17/04/2023,19.6,59,6.17,few clouds
20/04/2023,16.89,86,7.72,light intensity shower rain
16/05/2023,16.67,75,0.89,clear sky
19/05/2023,13.64,63,4.12,few clouds
22/05/2023,14.23,58,4.12,clear sky
14/06/2023,15.49,51,7.2,few clouds
17/06/2023,13.11,65,3.6,clear sky
20/06/2023,11.51,49,7.2,clear sky
16/07/2023,15.32,78,4.12,light rain
19/07/2023,12.64,49,7.72,clear sky
22/07/2023,12.44,52,6.17,few clouds
14/08/2023,12.83,88,4.63,broken clouds
17/08/2023,14.32,61,4.63,clear sky
20/08/2023,18.08,52,5.66,few clouds
12/09/2023,18.78,58,3.09,scattered clouds
15/09/2023,21.06,48,3.6,clear sky
18/09/2023,26.22,34,3.6,clear sky
14/10/2023,22.14,38,7.2,clear sky
17/10/2023,15.58,69,10.29,light intensity shower rain
20/10/2023,22.15,56,3.6,clear sky
12/11/2023,23.38,64,1.34,few clouds
15/11/2023,22.48,71,2.24,broken clouds
18/11/2023,21.84,55,3.6,broken clouds
14/12/2023,32.2,47,7.2,clear sky
17/12/2023,23.11,68,6.69,broken clouds
20/12/2023,18.06,90,12.86,moderate rain
02/01/2023,24.77,58,5.14,few clouds
05/01/2023,18.88,72,13.9,light rain
08/01/2023,22.33,52,7.2,scattered clouds
11/01/2023,22.57,67,3.1,broken clouds
31/01/2023,23.61,70,9.3,broken clouds
03/02/2023,25.62,37,7.2,clear sky
06/02/2023,25.29,65,6.7,broken clouds
09/02/2023,22.2,81,8.23,moderate rain
04/03/2023,24.85,61,3.6,light rain
07/03/2023,29.89,38,1.34,scattered clouds
10/03/2023,23.25,64,3.09,broken clouds
13/03/2023,22.58,65,8.23,light rain
02/04/2023,16.62,87,2.68,moderate rain
05/04/2023,21.15,72,7.2,light rain
08/04/2023,20.96,52,9.26,few clouds
11/04/2023,18.33,51,6.69,few clouds
04/05/2023,16.62,47,5.14,clear sky
07/05/2023,11.6,77,6.17,moderate rain
10/05/2023,16.33,57,4.12,few clouds
02/06/2023,16.31,81,3.09,few clouds
05/06/2023,16.81,68,2.06,broken clouds
08/06/2023,15.63,77,5.14,clear sky
11/06/2023,12.0,66,4.12,clear sky
01/07/2023,13.26,59,4.63,few clouds
04/07/2023,13.85,91,3.09,light rain
07/07/2023,14.8,58,4.12,few clouds
10/07/2023,15.39,56,5.66,clear sky
02/08/2023,14.68,73,0.63,light rain
05/08/2023,16.5,59,4.12,clear sky
08/08/2023,12.94,82,3.09,broken clouds
31/08/2023,17.56,73,7.2,light rain
01/05/2023,16.52,60,5.14,few clouds
30/07/2023,19.73,58,3.6,clear sky
29/09/2023,22.44,61,2.06,clear sky
28/12/2023,28.37,50,1.63,few clouds
12/02/2023,25.49,68,10.3,scattered clouds
13/05/2023,16.28,82,1.54,light rain
13/07/2023,13.59,66,3.6,clear sky
11/08/2023,15.27,49,3.6,few clouds
03/09/2023,16.01,63,2.57,scattered clouds
06/09/2023,18.33,51,2.06,clear sky
09/09/2023,15.23,41,7.2,clear sky
02/10/2023,20.57,57,4.63,broken clouds
05/10/2023,18.93,32,9.26,clear sky
08/10/2023,18.61,51,3.09,broken clouds
11/10/2023,21.09,64,3.09,scattered clouds
31/10/2023,27.28,24,9.26,clear sky
03/11/2023,18.95,74,4.12,light rain
06/11/2023,19.67,53,2.57,broken clouds
09/11/2023,23.31,65,7.72,clear sky
02/12/2023,22.24,74,3.6,broken clouds
05/12/2023,26.8,53,3.6,clear sky
08/12/2023,29.54,59,1.34,clear sky
11/12/2023,25.81,70,5.14,scattered clouds
31/12/2023,19.95,67,5.66,heavy intensity rain
17/01/2023,25.19,67,6.2,broken clouds
29/11/2023,22.89,78,7.72,broken clouds
16/02/2023,25.76,55,2.1,clear sky
17/07/2023,15.77,81,2.57,light rain
15/10/2023,21.67,36,4.12,clear sky
