order_date,product_id,product_category,quantity_sold
27/07/2023,2490971,Cold and Flu,12
19/08/2023,2490971,Cold and Flu,15
22/08/2023,2490971,Cold and Flu,21
25/08/2023,2490971,Cold and Flu,21
28/08/2023,2490971,Cold and Flu,18
17/09/2023,2490971,Cold and Flu,11
20/09/2023,2490971,Cold and Flu,17
23/09/2023,2490971,Cold and Flu,11
26/09/2023,2490971,Cold and Flu,11
19/10/2023,2490971,Cold and Flu,21
22/10/2023,2490971,Cold and Flu,14
25/10/2023,2490971,Cold and Flu,18
28/10/2023,2490971,Cold and Flu,14
17/11/2023,2490971,Cold and Flu,16
20/11/2023,2490971,Cold and Flu,16
23/11/2023,2490971,Cold and Flu,14
26/11/2023,2490971,Cold and Flu,35
19/12/2023,2490971,Cold and Flu,14
22/12/2023,2490971,Cold and Flu,13
25/12/2023,2490971,Cold and Flu,4
10/01/2023,2609910,Hayfever,69
13/01/2023,2609910,Hayfever,52
16/01/2023,2609910,Hayfever,60
19/01/2023,2609910,Hayfever,48
11/02/2023,2609910,Hayfever,53
14/02/2023,2609910,Hayfever,56
17/02/2023,2609910,Hayfever,53
12/03/2023,2609910,Hayfever,51
15/03/2023,2609910,Hayfever,58
18/03/2023,2609910,Hayfever,35
21/03/2023,2609910,Hayfever,39
10/04/2023,2609910,Hayfever,50
13/04/2023,2609910,Hayfever,58
16/04/2023,2609910,Hayfever,59
19/04/2023,2609910,Hayfever,46
12/05/2023,2609910,Hayfever,47
15/05/2023,2609910,Hayfever,55
18/05/2023,2609910,Hayfever,48
10/06/2023,2609910,Hayfever,39
13/06/2023,2609910,Hayfever,46
16/06/2023,2609910,Hayfever,113
19/06/2023,2609910,Hayfever,57
9/07/2023,2609910,Hayfever,39
12/07/2023,2609910,Hayfever,44
15/07/2023,2609910,Hayfever,30
18/07/2023,2609910,Hayfever,35
10/08/2023,2609910,Hayfever,49
13/08/2023,2609910,Hayfever,57
16/08/2023,2609910,Hayfever,63
19/08/2023,2609910,Hayfever,53
8/09/2023,2609910,Hayfever,48
11/09/2023,2609910,Hayfever,47
14/09/2023,2609910,Hayfever,43
17/09/2023,2609910,Hayfever,75
10/10/2023,2609910,Hayfever,38
13/10/2023,2609910,Hayfever,59
16/10/2023,2609910,Hayfever,41
8/11/2023,2609910,Hayfever,13
11/11/2023,2609910,Hayfever,10
14/11/2023,2609910,Hayfever,9
17/11/2023,2609910,Hayfever,10
7/12/2023,2609910,Hayfever,9
10/12/2023,2609910,Hayfever,8
13/12/2023,2609910,Hayfever,8
16/12/2023,2609910,Hayfever,4
10/01/2023,2617798,Cold and Flu,5
13/01/2023,2617798,Cold and Flu,2
16/01/2023,2617798,Cold and Flu,3
19/01/2023,2617798,Cold and Flu,2
8/02/2023,2617798,Cold and Flu,3
11/02/2023,2617798,Cold and Flu,2
17/02/2023,2617798,Cold and Flu,2
12/03/2023,2617798,Cold and Flu,6
15/03/2023,2617798,Cold and Flu,7
10/04/2023,2617798,Cold and Flu,5
13/04/2023,2617798,Cold and Flu,6
16/04/2023,2617798,Cold and Flu,8
19/04/2023,2617798,Cold and Flu,7
9/05/2023,2617798,Cold and Flu,8
12/05/2023,2617798,Cold and Flu,14
15/05/2023,2617798,Cold and Flu,12
18/05/2023,2617798,Cold and Flu,12
10/06/2023,2617798,Cold and Flu,5
13/06/2023,2617798,Cold and Flu,11
16/06/2023,2617798,Cold and Flu,6
19/06/2023,2617798,Cold and Flu,7
9/07/2023,2617798,Cold and Flu,10
12/07/2023,2617798,Cold and Flu,5
15/07/2023,2617798,Cold and Flu,5
18/07/2023,2617798,Cold and Flu,6
10/08/2023,2617798,Cold and Flu,10
13/08/2023,2617798,Cold and Flu,2
16/08/2023,2617798,Cold and Flu,1
8/09/2023,2617798,Cold and Flu,4
11/09/2023,2617798,Cold and Flu,7
14/09/2023,2617798,Cold and Flu,3
17/09/2023,2617798,Cold and Flu,5
7/10/2023,2617798,Cold and Flu,1
10/10/2023,2617798,Cold and Flu,1
13/10/2023,2617798,Cold and Flu,7
16/10/2023,2617798,Cold and Flu,5
8/11/2023,2617798,Cold and Flu,1
11/11/2023,2617798,Cold and Flu,1
14/11/2023,2617798,Cold and Flu,1
7/12/2023,2617798,Cold and Flu,4
10/12/2023,2617798,Cold and Flu,4
13/12/2023,2617798,Cold and Flu,2
16/12/2023,2617798,Cold and Flu,7
1/01/2023,2686282,Hair Care,23
4/01/2023,2686282,Hair Care,24
7/01/2023,2686282,Hair Care,18
30/01/2023,2686282,Hair Care,21
2/02/2023,2686282,Hair Care,27
5/02/2023,2686282,Hair Care,21
8/02/2023,2686282,Hair Care,25
28/02/2023,2686282,Hair Care,16
3/03/2023,2686282,Hair Care,14
6/03/2023,2686282,Hair Care,9
9/03/2023,2686282,Hair Care,13
1/04/2023,2686282,Hair Care,8
4/04/2023,2686282,Hair Care,16
7/04/2023,2686282,Hair Care,8
30/04/2023,2686282,Hair Care,20
